"","V1"
"h67m_3","na - pentavalent 4 month"
"h67m_4","na - pentavalent 4 month"
"h67m_5","na - pentavalent 4 month"
"h67m_6","na - pentavalent 4 month"
"h67y_1","na - pentavalent 4 year"
"h67y_2","na - pentavalent 4 year"
"h67y_3","na - pentavalent 4 year"
"h67y_4","na - pentavalent 4 year"
"h67y_5","na - pentavalent 4 year"
"h67y_6","na - pentavalent 4 year"
"h68_1","na - hepatitis b at birth received within 24 of birth"
"h68_2","na - hepatitis b at birth received within 24 of birth"
"h68_3","na - hepatitis b at birth received within 24 of birth"
"h68_4","na - hepatitis b at birth received within 24 of birth"
"h68_5","na - hepatitis b at birth received within 24 of birth"
"h68_6","na - hepatitis b at birth received within 24 of birth"
"h69_1","place where most vaccinations were received"
"h69_2","place where most vaccinations were received"
"h69_3","place where most vaccinations were received"
"h69_4","place where most vaccinations were received"
"h69_5","place where most vaccinations were received"
"h69_6","place where most vaccinations were received"
"hidxa_1","index to birth history"
"hidxa_2","index to birth history"
"hidxa_3","index to birth history"
"hidxa_4","index to birth history"
"hidxa_5","index to birth history"
"hidxa_6","index to birth history"
"h11_1","had diarrhea recently"
"h11_2","had diarrhea recently"
"h11_3","had diarrhea recently"
"h11_4","had diarrhea recently"
"h11_5","had diarrhea recently"
"h11_6","had diarrhea recently"
"h11b_1","na - blood in the stools"
"h11b_2","na - blood in the stools"
"h11b_3","na - blood in the stools"
"h11b_4","na - blood in the stools"
"h11b_5","na - blood in the stools"
"h11b_6","na - blood in the stools"
"h12a_1","diarrhea: government hospital"
"h12a_2","diarrhea: government hospital"
"h12a_3","diarrhea: government hospital"
"h12a_4","diarrhea: government hospital"
"h12a_5","diarrhea: government hospital"
"h12a_6","diarrhea: government hospital"
"h12b_1","diarrhea: phc/primary hospital"
"h12b_2","diarrhea: phc/primary hospital"
"h12b_3","diarrhea: phc/primary hospital"
"h12b_4","diarrhea: phc/primary hospital"
"h12b_5","diarrhea: phc/primary hospital"
"h12b_6","diarrhea: phc/primary hospital"
"h12c_1","diarrhea: health post"
"h12c_2","diarrhea: health post"
"h12c_3","diarrhea: health post"
"h12c_4","diarrhea: health post"
"h12c_5","diarrhea: health post"
"h12c_6","diarrhea: health post"
"h12d_1","diarrhea: basic health care center"
"h12d_2","diarrhea: basic health care center"
"h12d_3","diarrhea: basic health care center"
"h12d_4","diarrhea: basic health care center"
"h12d_5","diarrhea: basic health care center"
"h12d_6","diarrhea: basic health care center"
"h12e_1","diarrhea: urban health center"
"h12e_2","diarrhea: urban health center"
"h12e_3","diarrhea: urban health center"
"h12e_4","diarrhea: urban health center"
"h12e_5","diarrhea: urban health center"
"h12e_6","diarrhea: urban health center"
"h12f_1","diarrhea: community health unit"
"h12f_2","diarrhea: community health unit"
"h12f_3","diarrhea: community health unit"
"h12f_4","diarrhea: community health unit"
"h12f_5","diarrhea: community health unit"
"h12f_6","diarrhea: community health unit"
"h12g_1","diarrhea: fchv"
"h12g_2","diarrhea: fchv"
"h12g_3","diarrhea: fchv"
"h12g_4","diarrhea: fchv"
"h12g_5","diarrhea: fchv"
"h12g_6","diarrhea: fchv"
"h12h_1","diarrhea: other public sector"
"h12h_2","diarrhea: other public sector"
"h12h_3","diarrhea: other public sector"
"h12h_4","diarrhea: other public sector"
"h12h_5","diarrhea: other public sector"
"h12h_6","diarrhea: other public sector"
"h12i_1","na - diarrhea: cs public sector"
"h12i_2","na - diarrhea: cs public sector"
"h12i_3","na - diarrhea: cs public sector"
"h12i_4","na - diarrhea: cs public sector"
"h12i_5","na - diarrhea: cs public sector"
"h12i_6","na - diarrhea: cs public sector"
"h12j_1","diarrhea: private hospital"
"h12j_2","diarrhea: private hospital"
"h12j_3","diarrhea: private hospital"
"h12j_4","diarrhea: private hospital"
"h12j_5","diarrhea: private hospital"
"h12j_6","diarrhea: private hospital"
"h12k_1","diarrhea: private pharmacy"
"h12k_2","diarrhea: private pharmacy"
"h12k_3","diarrhea: private pharmacy"
"h12k_4","diarrhea: private pharmacy"
"h12k_5","diarrhea: private pharmacy"
"h12k_6","diarrhea: private pharmacy"
"h12l_1","diarrhea: private clinic/doctor"
"h12l_2","diarrhea: private clinic/doctor"
"h12l_3","diarrhea: private clinic/doctor"
"h12l_4","diarrhea: private clinic/doctor"
"h12l_5","diarrhea: private clinic/doctor"
"h12l_6","diarrhea: private clinic/doctor"
"h12m_1","diarrhea: other private medical"
"h12m_2","diarrhea: other private medical"
"h12m_3","diarrhea: other private medical"
"h12m_4","diarrhea: other private medical"
"h12m_5","diarrhea: other private medical"
"h12m_6","diarrhea: other private medical"
"h12n_1","na - diarrhea: cs private medical"
"h12n_2","na - diarrhea: cs private medical"
"h12n_3","na - diarrhea: cs private medical"
"h12n_4","na - diarrhea: cs private medical"
"h12n_5","na - diarrhea: cs private medical"
"h12n_6","na - diarrhea: cs private medical"
"h12o_1","na - diarrhea: cs private medical"
"h12o_2","na - diarrhea: cs private medical"
"h12o_3","na - diarrhea: cs private medical"
"h12o_4","na - diarrhea: cs private medical"
"h12o_5","na - diarrhea: cs private medical"
"h12o_6","na - diarrhea: cs private medical"
"h12p_1","na - diarrhea: cs private medical"
"h12p_2","na - diarrhea: cs private medical"
"h12p_3","na - diarrhea: cs private medical"
"h12p_4","na - diarrhea: cs private medical"
"h12p_5","na - diarrhea: cs private medical"
"h12p_6","na - diarrhea: cs private medical"
"h12q_1","na - diarrhea: cs private medical"
"h12q_2","na - diarrhea: cs private medical"
"h12q_3","na - diarrhea: cs private medical"
"h12q_4","na - diarrhea: cs private medical"
"h12q_5","na - diarrhea: cs private medical"
"h12q_6","na - diarrhea: cs private medical"
"h12r_1","na - diarrhea: cs private medical"
"h12r_2","na - diarrhea: cs private medical"
"h12r_3","na - diarrhea: cs private medical"
"h12r_4","na - diarrhea: cs private medical"
"h12r_5","na - diarrhea: cs private medical"
"h12r_6","na - diarrhea: cs private medical"
"h12na_1","na - diarrhea: ngo hospital"
"h12na_2","na - diarrhea: ngo hospital"
"h12na_3","na - diarrhea: ngo hospital"
"h12na_4","na - diarrhea: ngo hospital"
"h12na_5","na - diarrhea: ngo hospital"
"h12na_6","na - diarrhea: ngo hospital"
"h12nb_1","diarrhea: fpan"
"h12nb_2","diarrhea: fpan"
"h12nb_3","diarrhea: fpan"
"h12nb_4","diarrhea: fpan"
"h12nb_5","diarrhea: fpan"
"h12nb_6","diarrhea: fpan"
"h12nc_1","diarrhea: marie stopes"
"h12nc_2","diarrhea: marie stopes"
"h12nc_3","diarrhea: marie stopes"
"h12nc_4","diarrhea: marie stopes"
"h12nc_5","diarrhea: marie stopes"
"h12nc_6","diarrhea: marie stopes"
"h12nd_1","diarrhea: other ngo"
"h12nd_2","diarrhea: other ngo"
"h12nd_3","diarrhea: other ngo"
"h12nd_4","diarrhea: other ngo"
"h12nd_5","diarrhea: other ngo"
"h12nd_6","diarrhea: other ngo"
"h12ne_1","na - diarrhea: cs ngo"
"h12ne_2","na - diarrhea: cs ngo"
"h12ne_3","na - diarrhea: cs ngo"
"h12ne_4","na - diarrhea: cs ngo"
"h12ne_5","na - diarrhea: cs ngo"
"h12ne_6","na - diarrhea: cs ngo"
"h12s_1","diarrhea: shop"
"h12s_2","diarrhea: shop"
"h12s_3","diarrhea: shop"
"h12s_4","diarrhea: shop"
"h12s_5","diarrhea: shop"
"h12s_6","diarrhea: shop"
"h12t_1","diarrhea: traditional practitioner"
"h12t_2","diarrhea: traditional practitioner"
"h12t_3","diarrhea: traditional practitioner"
"h12t_4","diarrhea: traditional practitioner"
"h12t_5","diarrhea: traditional practitioner"
"h12t_6","diarrhea: traditional practitioner"
"h12u_1","na - diarrhea: cs other sector"
"h12u_2","na - diarrhea: cs other sector"
"h12u_3","na - diarrhea: cs other sector"
"h12u_4","na - diarrhea: cs other sector"
"h12u_5","na - diarrhea: cs other sector"
"h12u_6","na - diarrhea: cs other sector"
"h12v_1","na - diarrhea: cs other sector"
"h12v_2","na - diarrhea: cs other sector"
"h12v_3","na - diarrhea: cs other sector"
"h12v_4","na - diarrhea: cs other sector"
"h12v_5","na - diarrhea: cs other sector"
"h12v_6","na - diarrhea: cs other sector"
"h12w_1","na - diarrhea: cs other sector"
"h12w_2","na - diarrhea: cs other sector"
"h12w_3","na - diarrhea: cs other sector"
"h12w_4","na - diarrhea: cs other sector"
"h12w_5","na - diarrhea: cs other sector"
"h12w_6","na - diarrhea: cs other sector"
"h12x_1","diarrhea: other"
"h12x_2","diarrhea: other"
"h12x_3","diarrhea: other"
"h12x_4","diarrhea: other"
"h12x_5","diarrhea: other"
"h12x_6","diarrhea: other"
"h12y_1","diarrhea: no treatment"
"h12y_2","diarrhea: no treatment"
"h12y_3","diarrhea: no treatment"
"h12y_4","diarrhea: no treatment"
"h12y_5","diarrhea: no treatment"
"h12y_6","diarrhea: no treatment"
"h12z_1","diarrhea: medical treatment"
"h12z_2","diarrhea: medical treatment"
"h12z_3","diarrhea: medical treatment"
"h12z_4","diarrhea: medical treatment"
"h12z_5","diarrhea: medical treatment"
"h12z_6","diarrhea: medical treatment"
"h13_1","given oral rehydration"
"h13_2","given oral rehydration"
"h13_3","given oral rehydration"
"h13_4","given oral rehydration"
"h13_5","given oral rehydration"
"h13_6","given oral rehydration"
"h13b_1","given pre-packaged ors liquid"
"h13b_2","given pre-packaged ors liquid"
"h13b_3","given pre-packaged ors liquid"
"h13b_4","given pre-packaged ors liquid"
"h13b_5","given pre-packaged ors liquid"
"h13b_6","given pre-packaged ors liquid"
"h14_1","na - given recommended home solution"
"h14_2","na - given recommended home solution"
"h14_3","na - given recommended home solution"
"h14_4","na - given recommended home solution"
"h14_5","na - given recommended home solution"
"h14_6","na - given recommended home solution"
"h15_1","given antibiotic pills or syrups"
"h15_2","given antibiotic pills or syrups"
"h15_3","given antibiotic pills or syrups"
"h15_4","given antibiotic pills or syrups"
"h15_5","given antibiotic pills or syrups"
"h15_6","given antibiotic pills or syrups"
"h15a_1","given antimotility"
"h15a_2","given antimotility"
"h15a_3","given antimotility"
"h15a_4","given antimotility"
"h15a_5","given antimotility"
"h15a_6","given antimotility"
"h15b_1","given antibiotic injection"
"h15b_2","given antibiotic injection"
"h15b_3","given antibiotic injection"
"h15b_4","given antibiotic injection"
"h15b_5","given antibiotic injection"
"h15b_6","given antibiotic injection"
"h15c_1","given intravenous (iv)"
"h15c_2","given intravenous (iv)"
"h15c_3","given intravenous (iv)"
"h15c_4","given intravenous (iv)"
"h15c_5","given intravenous (iv)"
"h15c_6","given intravenous (iv)"
"h15d_1","given home remedy, herbal medicine"
"h15d_2","given home remedy, herbal medicine"
"h15d_3","given home remedy, herbal medicine"
"h15d_4","given home remedy, herbal medicine"
"h15d_5","given home remedy, herbal medicine"
"h15d_6","given home remedy, herbal medicine"
"h15e_1","given zinc"
"h15e_2","given zinc"
"h15e_3","given zinc"
"h15e_4","given zinc"
"h15e_5","given zinc"
"h15e_6","given zinc"
"h15f_1","given other pill or syrup (not antibiotic, antimotility, zinc)"
"h15f_2","given other pill or syrup (not antibiotic, antimotility, zinc)"
"h15f_3","given other pill or syrup (not antibiotic, antimotility, zinc)"
"h15f_4","given other pill or syrup (not antibiotic, antimotility, zinc)"
"h15f_5","given other pill or syrup (not antibiotic, antimotility, zinc)"
"h15f_6","given other pill or syrup (not antibiotic, antimotility, zinc)"
"h15g_1","given unknown pill or syrup"
"h15g_2","given unknown pill or syrup"
"h15g_3","given unknown pill or syrup"
"h15g_4","given unknown pill or syrup"
"h15g_5","given unknown pill or syrup"
"h15g_6","given unknown pill or syrup"
"h15h_1","given non-antibiotic injection"
"h15h_2","given non-antibiotic injection"
"h15h_3","given non-antibiotic injection"
"h15h_4","given non-antibiotic injection"
"h15h_5","given non-antibiotic injection"
"h15h_6","given non-antibiotic injection"
"h15i_1","given unknown injection"
"h15i_2","given unknown injection"
"h15i_3","given unknown injection"
"h15i_4","given unknown injection"
"h15i_5","given unknown injection"
"h15i_6","given unknown injection"
"h15j_1","na - given cs"
"h15j_2","na - given cs"
"h15j_3","na - given cs"
"h15j_4","na - given cs"
"h15j_5","na - given cs"
"h15j_6","na - given cs"
"h15k_1","na - given cs"
"h15k_2","na - given cs"
"h15k_3","na - given cs"
"h15k_4","na - given cs"
"h15k_5","na - given cs"
"h15k_6","na - given cs"
"h15l_1","na - given cs"
"h15l_2","na - given cs"
"h15l_3","na - given cs"
"h15l_4","na - given cs"
"h15l_5","na - given cs"
"h15l_6","na - given cs"
"h15m_1","na - given cs"
"h15m_2","na - given cs"
"h15m_3","na - given cs"
"h15m_4","na - given cs"
"h15m_5","na - given cs"
"h15m_6","na - given cs"
"h20_1","given other treatment"
"h20_2","given other treatment"
"h20_3","given other treatment"
"h20_4","given other treatment"
"h20_5","given other treatment"
"h20_6","given other treatment"
"h21a_1","given no treatment"
"h21a_2","given no treatment"
"h21a_3","given no treatment"
"h21a_4","given no treatment"
"h21a_5","given no treatment"
"h21a_6","given no treatment"
"h21_1","received any treatment"
"h21_2","received any treatment"
"h21_3","received any treatment"
"h21_4","received any treatment"
"h21_5","received any treatment"
"h21_6","received any treatment"
"h22_1","had fever in last two weeks"
"h22_2","had fever in last two weeks"
"h22_3","had fever in last two weeks"
"h22_4","had fever in last two weeks"
"h22_5","had fever in last two weeks"
"h22_6","had fever in last two weeks"
"h31_1","had cough in last two weeks"
"h31_2","had cough in last two weeks"
"h31_3","had cough in last two weeks"
"h31_4","had cough in last two weeks"
"h31_5","had cough in last two weeks"
"h31_6","had cough in last two weeks"
"h31b_1","short, rapid breaths"
"h31b_2","short, rapid breaths"
"h31b_3","short, rapid breaths"
"h31b_4","short, rapid breaths"
"h31b_5","short, rapid breaths"
"h31b_6","short, rapid breaths"
"h31c_1","problem in the chest or blocked or running nose"
"h31c_2","problem in the chest or blocked or running nose"
"h31c_3","problem in the chest or blocked or running nose"
"h31c_4","problem in the chest or blocked or running nose"
"h31c_5","problem in the chest or blocked or running nose"
"h31c_6","problem in the chest or blocked or running nose"
"h31d_1","na - had fever/cough in last 2 weeks: amount offered to drink"
"h31d_2","na - had fever/cough in last 2 weeks: amount offered to drink"
"h31d_3","na - had fever/cough in last 2 weeks: amount offered to drink"
"h31d_4","na - had fever/cough in last 2 weeks: amount offered to drink"
"h31d_5","na - had fever/cough in last 2 weeks: amount offered to drink"
"h31d_6","na - had fever/cough in last 2 weeks: amount offered to drink"
"h31e_1","na - had fever/cough in last 2 weeks: amount offered to eat"
"h31e_2","na - had fever/cough in last 2 weeks: amount offered to eat"
"h31e_3","na - had fever/cough in last 2 weeks: amount offered to eat"
"h31e_4","na - had fever/cough in last 2 weeks: amount offered to eat"
"h31e_5","na - had fever/cough in last 2 weeks: amount offered to eat"
"h31e_6","na - had fever/cough in last 2 weeks: amount offered to eat"
"h32a_1","fever/cough: government hospital"
"h32a_2","fever/cough: government hospital"
"h32a_3","fever/cough: government hospital"
"h32a_4","fever/cough: government hospital"
"h32a_5","fever/cough: government hospital"
"h32a_6","fever/cough: government hospital"
"h32b_1","fever/cough: phc/primary hospital"
"h32b_2","fever/cough: phc/primary hospital"
"h32b_3","fever/cough: phc/primary hospital"
"h32b_4","fever/cough: phc/primary hospital"
"h32b_5","fever/cough: phc/primary hospital"
"h32b_6","fever/cough: phc/primary hospital"
"h32c_1","fever/cough: health post"
"h32c_2","fever/cough: health post"
"h32c_3","fever/cough: health post"
"h32c_4","fever/cough: health post"
"h32c_5","fever/cough: health post"
"h32c_6","fever/cough: health post"
"h32d_1","fever/cough: basic health care center"
"h32d_2","fever/cough: basic health care center"
"h32d_3","fever/cough: basic health care center"
"h32d_4","fever/cough: basic health care center"
"h32d_5","fever/cough: basic health care center"
"h32d_6","fever/cough: basic health care center"
"h32e_1","fever/cough: urban health center"
"h32e_2","fever/cough: urban health center"
"h32e_3","fever/cough: urban health center"
"h32e_4","fever/cough: urban health center"
"h32e_5","fever/cough: urban health center"
"h32e_6","fever/cough: urban health center"
"h32f_1","fever/cough: community health unit"
"h32f_2","fever/cough: community health unit"
"h32f_3","fever/cough: community health unit"
"h32f_4","fever/cough: community health unit"
"h32f_5","fever/cough: community health unit"
"h32f_6","fever/cough: community health unit"
"h32g_1","fever/cough: fchv"
"h32g_2","fever/cough: fchv"
"h32g_3","fever/cough: fchv"
"h32g_4","fever/cough: fchv"
"h32g_5","fever/cough: fchv"
"h32g_6","fever/cough: fchv"
"h32h_1","fever/cough: other public sector"
"h32h_2","fever/cough: other public sector"
"h32h_3","fever/cough: other public sector"
"h32h_4","fever/cough: other public sector"
"h32h_5","fever/cough: other public sector"
"h32h_6","fever/cough: other public sector"
"h32i_1","na - fever/cough: cs public sector"
"h32i_2","na - fever/cough: cs public sector"
"h32i_3","na - fever/cough: cs public sector"
"h32i_4","na - fever/cough: cs public sector"
"h32i_5","na - fever/cough: cs public sector"
"h32i_6","na - fever/cough: cs public sector"
"h32j_1","fever/cough: private hospital/ clinic"
"h32j_2","fever/cough: private hospital/ clinic"
"h32j_3","fever/cough: private hospital/ clinic"
"h32j_4","fever/cough: private hospital/ clinic"
"h32j_5","fever/cough: private hospital/ clinic"
"h32j_6","fever/cough: private hospital/ clinic"
"h32k_1","fever/cough: private pharmacy"
"h32k_2","fever/cough: private pharmacy"
"h32k_3","fever/cough: private pharmacy"
"h32k_4","fever/cough: private pharmacy"
"h32k_5","fever/cough: private pharmacy"
"h32k_6","fever/cough: private pharmacy"
"h32l_1","fever/cough: private clinic/doctor"
"h32l_2","fever/cough: private clinic/doctor"
"h32l_3","fever/cough: private clinic/doctor"
"h32l_4","fever/cough: private clinic/doctor"
"h32l_5","fever/cough: private clinic/doctor"
"h32l_6","fever/cough: private clinic/doctor"
"h32m_1","fever/cough: other private medical"
"h32m_2","fever/cough: other private medical"
"h32m_3","fever/cough: other private medical"
"h32m_4","fever/cough: other private medical"
"h32m_5","fever/cough: other private medical"
"h32m_6","fever/cough: other private medical"
"h32n_1","na - fever/cough: cs private medical"
"h32n_2","na - fever/cough: cs private medical"
"h32n_3","na - fever/cough: cs private medical"
"h32n_4","na - fever/cough: cs private medical"
